station_id,road_name,suburb,cardinal_direction_name,classification_type,year,period,traffic_count
01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2006,ALL DAYS,43209
01004,Western Distributor,Sydney,SOUTH,UNCLASSIFIED,2006,ALL DAYS,34108
01004,Western Distributor,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2006,ALL DAYS,77317
01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2007,ALL DAYS,43625
01004,Western Distributor,Sydney,SOUTH,UNCLASSIFIED,2007,ALL DAYS,35562
01004,Western Distributor,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2007,ALL DAYS,79187
01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2008,ALL DAYS,43260
01004,Western Distributor,Sydney,SOUTH,UNCLASSIFIED,2008,ALL DAYS,35740
01004,Western Distributor,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2008,ALL DAYS,79000
01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2009,ALL DAYS,43370
01004,Western Distributor,Sydney,SOUTH,UNCLASSIFIED,2009,ALL DAYS,34789
01004,Western Distributor,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2009,ALL DAYS,78159
01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2010,ALL DAYS,44074
01004,Western Distributor,Sydney,SOUTH,UNCLASSIFIED,2010,ALL DAYS,35532
01004,Western Distributor,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2010,ALL DAYS,79606
01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2011,ALL DAYS,43776
01004,Western Distributor,Sydney,SOUTH,UNCLASSIFIED,2011,ALL DAYS,35805
01004,Western Distributor,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2011,ALL DAYS,79581
01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2012,ALL DAYS,43355
01004,Western Distributor,Sydney,SOUTH,UNCLASSIFIED,2012,ALL DAYS,35364
01004,Western Distributor,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2012,ALL DAYS,78719
01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2013,ALL DAYS,43479
01004,Western Distributor,Sydney,SOUTH,UNCLASSIFIED,2013,ALL DAYS,35990
01004,Western Distributor,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2013,ALL DAYS,79469
01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2014,ALL DAYS,41976
01004,Western Distributor,Sydney,SOUTH,UNCLASSIFIED,2014,ALL DAYS,34726
01004,Western Distributor,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2014,ALL DAYS,76702
01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2015,ALL DAYS,44745
01004,Western Distributor,Sydney,SOUTH,UNCLASSIFIED,2015,ALL DAYS,38974
01004,Western Distributor,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2015,ALL DAYS,83719
01004,Western Distributor,Sydney,NORTH,UNCLASSIFIED,2016,ALL DAYS,43128
01004,Western Distributor,Sydney,SOUTH,UNCLASSIFIED,2016,ALL DAYS,37202
01004,Western Distributor,Sydney,NORTHBOUND AND SOUTHBOUND,UNCLASSIFIED,2016,ALL DAYS,80330
